,CNTSCHID,PRIVATESCH,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG,W_SCHGRNRABWT,W_FSTUWT_SCH_SUM
0,3200001.0,public,3.0,10.6542,570.0,0.2459,1.0,53.5,1.0,0.8411,0.1589,0.0093,33.0,0.0,1.0283,-0.5869,-0.9505,-2.0409,0.9042,25.19752,2232.21732
1,3200002.0,private,3.0,14.6353,622.0,0.3333,1.0,42.5,1.0,0.8235,0.1765,0.0588,53.0,1.0,-0.6884,-1.4551,-0.3856,-0.9138,0.1329,2.74044,280.92983
2,3200003.0,public,3.0,1.8667,56.0,0.0667,1.0,30.0,0.0,0.9333,0.0667,0.0,13.0,1.0,1.2478,-1.4551,-1.0431,-2.0409,0.9042,177.1978,1205.45137
3,3200004.0,public,3.0,39.0,39.0,,,1.0,1.0,1.0,0.0,0.0,,,0.0574,0.21,-0.9505,-1.2356,0.9042,346.38221,353.90292
4,3200005.0,private,2.0,10.7333,322.0,0.2381,1.0,30.0,1.0,,,,28.0,2.0,-1.4212,-1.4551,-0.4515,-0.5488,-0.2798,54.98917,2443.10519
5,3200006.0,private,1.0,6.6667,350.0,1.3333,1.0,52.5,1.0,0.9238,0.0762,0.0,43.0,0.0,-0.9432,-0.7828,0.1273,0.9054,-1.0542,66.20521,3059.06468
6,3200007.0,public,3.0,10.0588,171.0,0.4,0.0,17.0,1.0,0.4118,0.5882,0.0,23.0,2.0,0.1,-0.4313,0.4349,-0.1274,0.9042,18.43366,371.70612
7,3200008.0,private,2.0,15.2,228.0,0.6053,1.0,15.0,1.0,0.4,0.6,,33.0,2.0,-1.4212,-1.4551,-0.2686,-0.4289,0.9042,18.31102,685.25608
8,3200009.0,public,3.0,6.2,775.0,0.2251,0.0,125.0,0.12,0.88,1.0,0.76,28.0,2.0,1.6863,0.5795,-0.0956,0.9429,0.1571,3.10291,425.61952
9,3200010.0,public,3.0,1.75,560.0,0.7826,0.0,320.0,1.0,0.9375,0.0625,0.0,53.0,2.0,1.22,0.028,-0.6033,-0.8166,0.3009,38.11125,2684.92357
10,3200011.0,public,3.0,,,,,,,,,,,,,,,,,2.86725,342.33676
11,3200012.0,private,2.0,4.7727,105.0,0.4615,1.0,22.0,1.0,0.3182,0.6818,0.0,,2.0,0.633,-0.1776,-0.3684,-0.5079,0.9042,185.39206,1310.88087
12,3200013.0,public,3.0,,492.0,0.0889,1.0,,,,,,18.0,1.0,0.1,-0.0879,-0.079,0.9028,-2.3839,6.12196,436.02302
13,3200014.0,public,3.0,7.3381,510.0,1.0526,1.0,69.5,1.0,0.1511,0.8489,0.1151,28.0,3.0,-1.4212,-0.1776,1.1262,0.9028,0.9042,9.62952,656.98558
14,3200015.0,public,3.0,16.3717,925.0,0.1961,0.0,56.5,0.0796,0.8761,0.0442,,53.0,2.0,-0.3123,1.1514,,,0.9042,16.94758,2722.61821
15,3200016.0,public,3.0,5.6209,1186.0,0.7937,,211.0,0.5569,0.2512,0.2773,0.0118,18.0,0.0,0.6606,-0.614,0.9714,1.1913,0.9042,1.81938,292.37643
16,3200017.0,public,3.0,3.5333,212.0,0.4,1.0,60.0,1.0,0.0,1.0,0.1667,28.0,0.0,-0.2376,-1.4551,1.4565,0.5642,-1.0542,18.43366,530.63377
17,3200018.0,private,2.0,12.0164,733.0,0.2697,1.0,61.0,1.0,0.0492,0.7213,0.0492,53.0,3.0,-1.4212,0.21,1.7012,1.3713,-1.575,29.91359,3671.70713
18,3200019.0,private,1.0,11.4231,297.0,0.42,1.0,26.0,0.6346,0.1923,0.7692,0.0769,48.0,3.0,-0.0703,-1.4551,0.642,0.2397,0.9042,7.05519,359.11123
19,3200020.0,public,3.0,3.9256,1531.0,0.2353,0.0,390.0,,,,,33.0,0.0,0.1,1.3405,0.6886,1.4533,-0.1661,1.9196,290.06129
20,3200021.0,public,3.0,12.08,453.0,0.7299,0.0,37.5,0.1333,0.76,0.0,0.0,23.0,2.0,0.9868,2.8705,0.0622,1.6107,0.9042,4.41101,398.8894
21,3200022.0,private,2.0,14.8462,386.0,0.5781,1.0,26.0,0.0,0.3846,0.5769,0.0385,53.0,0.0,1.2478,0.6676,-0.335,-0.2885,0.9042,9.42479,581.16098
22,3200023.0,public,3.0,8.3171,341.0,0.0,,41.0,1.0,1.0,0.0,0.0,,2.0,0.0686,-0.0879,0.0923,0.5551,-1.0542,52.56724,2235.44824
23,3200024.0,public,3.0,5.3385,347.0,0.0577,1.0,65.0,1.0,1.0,0.0,0.0154,53.0,1.0,2.1432,-0.3163,0.747,1.2271,-0.4859,86.13782,3181.40214
24,3200025.0,public,3.0,3.7867,284.0,0.2759,1.0,75.0,1.0,1.0,0.9333,0.0,18.0,2.0,,,1.1783,-0.5582,-0.3214,58.32415,2097.24281
25,3200026.0,public,3.0,7.12,534.0,0.0568,0.0,75.0,1.0,0.9133,0.0667,0.02,53.0,0.0,0.8339,1.0744,0.4282,0.3085,-1.3732,22.75299,1383.45333
26,3200027.0,private,2.0,16.5315,1182.0,0.1042,1.0,71.5,1.0,0.8322,0.1678,0.035,38.0,3.0,-1.4212,-0.7828,-0.1522,-0.1662,0.9042,16.91111,2830.90026
27,3200028.0,public,3.0,1.0,46.0,,,50.0,1.0,1.0,0.0,0.0,43.0,0.0,0.7566,,0.5641,0.1875,-0.6263,18.14814,154.87474
28,3200029.0,public,3.0,,,,1.0,80.0,,0.625,0.375,0.0938,53.0,0.0,-0.949,0.355,0.1795,0.8378,-1.4469,4.31453,516.65499
29,3200030.0,public,3.0,7.5294,64.0,0.0,,8.5,1.0,1.0,0.0588,0.0,13.0,2.0,-0.4907,0.2964,1.0678,0.7185,-0.1868,18.14814,205.4517
30,3200031.0,private,2.0,8.5818,236.0,0.3556,1.0,27.5,1.0,0.5455,0.0182,0.0909,43.0,1.0,-1.4212,-0.5869,0.0921,0.5672,0.9042,18.31102,755.7735
31,3200032.0,private,2.0,,150.0,0.6452,1.0,,,,,,33.0,1.0,-1.4212,-1.4551,-2.0719,-2.0409,0.9042,13.40422,503.85026
32,3200033.0,private,2.0,22.4444,303.0,0.0,,13.5,1.0,1.0,0.9259,0.2593,28.0,0.0,0.6635,-1.4551,1.7012,2.4453,-2.6799,177.80827,1233.9051
