CNTRYID,CNT,CNTSCHID,CYC,NatCen,Region,STRATUM,SUBNATIO,OECD,ADMINMODE,LANGTEST,SC001Q01TA,SC013Q01TA,SC016Q01TA,SC016Q02TA,SC016Q03TA,SC016Q04TA,SC017Q01NA,SC017Q02NA,SC017Q03NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q08NA,SC161Q01SA,SC161Q02SA,SC161Q03SA,SC161Q04SA,SC161Q05SA,SC162Q01SA,SC155Q01HA,SC155Q02HA,SC155Q03HA,SC155Q04HA,SC155Q05HA,SC155Q06HA,SC155Q07HA,SC155Q08HA,SC155Q09HA,SC155Q10HA,SC155Q11HA,SC156Q01HA,SC156Q02HA,SC156Q03HA,SC156Q04HA,SC156Q05HA,SC156Q06HA,SC156Q07HA,SC156Q08HA,SC011Q01TA,SC012Q01TA,SC012Q02TA,SC012Q03TA,SC012Q04TA,SC012Q05TA,SC012Q06TA,SC012Q07TA,SC042Q01TA,SC042Q02TA,SC154Q01HA,SC154Q02WA,SC154Q03WA,SC154Q04WA,SC154Q05WA,SC154Q06WA,SC154Q07WA,SC154Q08WA,SC154Q09HA,SC154Q10WA,SC154Q11HA,SC036Q01TA,SC036Q02TA,SC036Q03NA,SC037Q01TA,SC037Q02TA,SC037Q03TA,SC037Q04TA,SC037Q05NA,SC037Q06NA,SC037Q07TA,SC037Q08TA,SC037Q09TA,SC037Q10NA,SC165Q01HA,SC165Q02HA,SC165Q03HA,SC165Q04HA,SC165Q05HA,SC165Q06HA,SC165Q07HA,SC165Q08HA,SC165Q09HA,SC165Q10HA,SC166Q02HA,SC166Q03HA,SC166Q05HA,SC166Q06HA,SC167Q01HA,SC167Q02HA,SC167Q03HA,SC167Q04HA,SC167Q05HA,SC167Q06HA,SC158Q01HA,SC158Q02HA,SC158Q04HA,SC158Q07HA,SC158Q08HA,SC158Q09HA,SC158Q12HA,SC061Q01TA,SC061Q02TA,SC061Q03TA,SC061Q04TA,SC061Q05TA,SC061Q11HA,SC061Q06TA,SC061Q07TA,SC061Q08TA,SC061Q09TA,SC061Q10TA,SC002Q01TA,SC002Q02TA,SC048Q01NA,SC048Q02NA,SC048Q03NA,SC004Q01TA,SC004Q02TA,SC004Q03TA,SC004Q04NA,SC004Q05NA,SC004Q06NA,SC004Q07NA,SC018Q01TA01,SC018Q01TA02,SC018Q02TA01,SC018Q02TA02,SC018Q05NA01,SC018Q05NA02,SC018Q06NA01,SC018Q06NA02,SC018Q07NA01,SC018Q07NA02,SC025Q01NA,SC159Q01HA,SC003Q01TA,SC053Q01TA,SC053Q02TA,SC053Q03TA,SC053Q04TA,SC053Q12IA,SC053Q13IA,SC053Q09TA,SC053Q10TA,SC053Q14IA,SC053Q15IA,SC053Q16IA,SC053D11TA,SC150Q01IA,SC150Q02IA,SC150Q03IA,SC150Q04IA,SC150Q05IA,SC164Q01HA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,SC152Q01HA,SC160Q01WA,SC052Q01NA,SC052Q02NA,SC052Q03HA,PRIVATESCH,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG,W_SCHGRNRABWT,W_FSTUWT_SCH_SUM,SENWT,VER_DAT,BOOKID
32.0,ARG,3200001.0,07MS,003200,3202.0,ARG0203,0320200,0.0,2.0,156.0,4.0,1.0,10.0,0.0,90.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,286.0,284.0,0.0,2.0,95.0,122.0,30.0,30.0,30.0,0.0,1.0,5.0,,107.0,,107.0,,90.0,,17.0,,1.0,100.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0032002,2.0,2.0,2.0,2.0,2.0,35.0,5.0,50.0,1.0,3.0,2.0,,1.0,1.0,1.0,public,3.0,10.6542,570.0,0.2459,1.0,53.5,1.0,0.8411,0.1589,0.0093,33.0,0.0,1.0283,-0.5869,-0.9505,-2.0409,0.9042,25.19752,2232.21732,8.77711,  26APR19:10:57:29,
32.0,ARG,3200002.0,07MS,003200,3203.0,ARG0308,0320300,0.0,2.0,156.0,3.0,1.0,30.0,70.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,264.0,358.0,0.0,1.0,5.0,90.0,30.0,30.0,0.0,0.0,3.0,2.0,25.0,35.0,25.0,35.0,20.0,30.0,5.0,5.0,2.0,1.0,20.0,2.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0032002,2.0,2.0,2.0,2.0,2.0,15.0,20.0,30.0,5.0,5.0,2.0,,1.0,1.0,1.0,private,3.0,14.6353,622.0,0.3333,1.0,42.5,1.0,0.8235,0.1765,0.0588,53.0,1.0,-0.6884,-1.4551,-0.3856,-0.9138,0.1329,2.74044,280.92983,0.95459,  26APR19:10:57:29,
32.0,ARG,3200003.0,07MS,003200,3202.0,ARG0205,0320200,0.0,2.0,156.0,3.0,1.0,,,,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,35.0,21.0,0.0,5.0,100.0,15.0,1.0,1.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0032002,2.0,2.0,2.0,2.0,2.0,50.0,10.0,5.0,15.0,10.0,2.0,,2.0,1.0,1.0,public,3.0,1.8667,56.0,0.0667,1.0,30.0,0.0,0.9333,0.0667,0.0,13.0,1.0,1.2478,-1.4551,-1.0431,-2.0409,0.9042,177.1978,1205.45137,61.72375,  26APR19:10:57:29,
32.0,ARG,3200004.0,07MS,003200,3200.0,ARG0513,0320000,0.0,2.0,156.0,2.0,1.0,,,,,3.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,24.0,15.0,,,,,,,,,,,,2.0,,2.0,,2.0,0.0,0.0,0.0,0.0,100.0,2.0,,,,,,,,,,,,,9999999,,,,,,,30.0,10.0,50.0,10.0,2.0,,,,,public,3.0,39.0,39.0,,,1.0,1.0,1.0,0.0,0.0,,,0.0574,0.21,-0.9505,-1.2356,0.9042,346.38221,353.90292,120.65617,  26APR19:10:57:29,
32.0,ARG,3200005.0,07MS,003200,3202.0,ARG0206,0320200,0.0,2.0,156.0,3.0,2.0,80.0,20.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,146.0,176.0,0.0,0.0,0.0,42.0,10.0,10.0,0.0,2.0,3.0,3.0,7.0,46.0,7.0,46.0,,,,,,,100.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0032001,2.0,2.0,1.0,1.0,2.0,10.0,80.0,80.0,0.0,100.0,2.0,,2.0,2.0,1.0,private,2.0,10.7333,322.0,0.2381,1.0,30.0,1.0,,,,28.0,2.0,-1.4212,-1.4551,-0.4515,-0.5488,-0.2798,54.98917,2443.10519,19.15451,  26APR19:10:57:29,
32.0,ARG,3200006.0,07MS,003200,3202.0,ARG0204,0320200,0.0,2.0,156.0,4.0,2.0,20.0,80.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,1.0,331.0,19.0,0.0,0.0,0.0,45.0,60.0,60.0,0.0,0.0,4.0,6.0,19.0,67.0,19.0,67.0,17.0,63.0,2.0,4.0,0.0,0.0,0.0,2.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0032001,2.0,2.0,2.0,2.0,2.0,21.0,30.0,50.0,0.0,0.0,2.0,,1.0,1.0,1.0,private,1.0,6.6667,350.0,1.3333,1.0,52.5,1.0,0.9238,0.0762,0.0,43.0,0.0,-0.9432,-0.7828,0.1273,0.9054,-1.0542,66.20521,3059.06468,23.06142,  26APR19:10:57:29,
32.0,ARG,3200007.0,07MS,003200,3204.0,ARG0409,0320400,0.0,2.0,156.0,3.0,1.0,20.0,80.0,0.0,0.0,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,80.0,91.0,0.0,4.0,80.0,25.0,10.0,0.0,10.0,0.0,0.0,0.0,4.0,26.0,4.0,26.0,4.0,6.0,0.0,20.0,0.0,0.0,100.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0032002,2.0,2.0,2.0,2.0,2.0,61.0,10.0,30.0,2.0,2.0,2.0,,2.0,2.0,2.0,public,3.0,10.0588,171.0,0.4,0.0,17.0,1.0,0.4118,0.5882,0.0,23.0,2.0,0.1,-0.4313,0.4349,-0.1274,0.9042,18.43366,371.70612,6.42104,  26APR19:10:57:29,
32.0,ARG,3200008.0,07MS,003200,3204.0,ARG0410,0320400,0.0,2.0,156.0,5.0,2.0,90.0,10.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,109.0,119.0,0.0,0.0,0.0,38.0,23.0,23.0,2.0,0.0,9.0,4.0,,30.0,,30.0,,12.0,,18.0,,,10.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0032001,2.0,2.0,2.0,2.0,2.0,10.0,40.0,80.0,0.0,10.0,2.0,,2.0,1.0,1.0,private,2.0,15.2,228.0,0.6053,1.0,15.0,1.0,0.4,0.6,,33.0,2.0,-1.4212,-1.4551,-0.2686,-0.4289,0.9042,18.31102,685.25608,6.37832,  26APR19:10:57:29,
32.0,ARG,3200009.0,07MS,003200,3201.0,ARG0101,0320100,0.0,2.0,156.0,5.0,1.0,89.0,10.0,1.0,,3.0,3.0,1.0,2.0,3.0,3.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,368.0,407.0,0.0,1.0,60.0,311.0,70.0,0.0,70.0,1.0,1.0,1.0,110.0,30.0,,30.0,110.0,0.0,110.0,30.0,90.0,10.0,20.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0032002,2.0,2.0,2.0,2.0,2.0,45.0,10.0,40.0,1.0,0.0,2.0,,2.0,2.0,2.0,public,3.0,6.2,775.0,0.2251,0.0,125.0,0.12,0.88,1.0,0.76,28.0,2.0,1.6863,0.5795,-0.0956,0.9429,0.1571,3.10291,425.61952,1.08085,  26APR19:10:57:29,
32.0,ARG,3200010.0,07MS,003200,3202.0,ARG0203,0320200,0.0,2.0,156.0,2.0,1.0,60.0,40.0,0.0,0.0,2.0,1.0,3.0,1.0,4.0,1.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,240.0,320.0,1.0,0.0,95.0,115.0,90.0,0.0,90.0,0.0,0.0,0.0,320.0,0.0,320.0,0.0,300.0,0.0,20.0,0.0,0.0,0.0,20.0,2.0,9.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0032002,2.0,2.0,2.0,2.0,2.0,30.0,70.0,50.0,50.0,50.0,2.0,,2.0,1.0,1.0,public,3.0,1.75,560.0,0.7826,0.0,320.0,1.0,0.9375,0.0625,0.0,53.0,2.0,1.22,0.028,-0.6033,-0.8166,0.3009,38.11125,2684.92357,13.27539,  26APR19:10:57:29,
