,CNTSCHID,CNTSTUID,SUBNATIO,ST004D01T,AGE,PARED,HISEI,IMMIG,DURECEC,REPEAT,SCCHANGE,STUBMI,ESCS,ICTHOME,ICTSCH,CULTPOSS,DISCLIMA,EMOSUPS,BEINGBULLIED,PERCOMP,BODYIMA,W_FSTUWT,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE,PV6SCIE,PV7SCIE,PV8SCIE,PV9SCIE,PV10SCIE
0,3200001.0,3200083.0,320200,1.0,16.08,6.0,26.62,1.0,1.0,1.0,,,-2.3931,,,-0.6264,-2.7124,-0.6576,,,,87.06638,261.72,227.348,280.388,373.19,303.223,236.894,346.3,287.591,297.405,420.319,370.694,352.782,354.818,399.441,386.57,408.005,411.916,470.093,403.45,395.227,362.115,386.66,361.476,340.834,333.47,369.345,446.323,345.57,387.426
1,3200001.0,3200164.0,320200,2.0,16.08,10.0,22.57,3.0,1.0,1.0,,,-1.9488,,,0.0304,-1.0454,,,,,128.30684,337.012,397.271,332.039,389.015,288.414,227.188,331.632,361.77,361.186,426.296,436.851,424.454,420.41,436.405,432.759,433.994,440.991,426.23,430.545,486.81,481.359,459.667,574.695,541.125,436.858,422.669,428.442,433.609,501.862
2,3200001.0,3201133.0,320200,1.0,15.58,12.0,51.01,1.0,3.0,0.0,,,-0.7797,,,-0.9795,0.0444,,,,,87.06638,344.593,416.75,428.633,422.268,306.145,351.718,425.983,310.057,412.613,390.83,343.128,394.442,358.185,363.679,381.972,407.779,384.064,336.189,388.458,346.635,371.325,428.804,436.787,431.976,411.51,394.511,363.953,301.07,404.598
3,3200001.0,3201511.0,320200,1.0,15.25,12.0,30.78,1.0,2.0,0.0,,,-1.9261,,,-2.2054,-0.4652,-0.6576,1.4812,-1.0299,,87.06638,217.466,291.742,335.309,320.327,264.101,254.469,253.578,258.737,242.431,303.786,266.363,300.466,284.468,249.243,243.765,381.817,280.121,308.733,316.715,313.662,280.828,244.513,222.501,230.27,316.224,300.154,365.413,313.375,329.205
4,3200001.0,3202432.0,320200,1.0,15.42,10.0,36.35,,3.0,1.0,,,-2.0159,,,-1.2131,-2.7124,-1.8598,,,,94.26165,302.359,265.408,377.859,292.343,414.416,323.819,288.865,265.409,321.542,374.687,335.58,296.243,308.461,347.554,357.284,306.961,311.053,289.807,312.04,384.322,257.172,209.654,278.724,342.303,368.155,178.668,301.385,244.313,233.357
5,3200001.0,3203374.0,320200,1.0,15.67,12.0,30.34,1.0,2.0,0.0,,,-1.1825,,,-1.1809,0.7998,,,,,87.06638,329.333,301.66,370.124,414.798,332.28,348.709,381.769,343.666,381.808,374.344,336.28,393.053,372.911,392.513,354.42,395.142,387.214,408.641,388.113,404.337,425.897,347.832,403.391,451.877,427.848,461.654,398.154,402.915,370.874
6,3200001.0,3203473.0,320200,1.0,16.0,10.0,68.7,1.0,3.0,0.0,,,-1.1385,,,0.1095,-0.4186,,,,,87.06638,431.822,462.83,504.024,454.904,457.336,466.686,414.62,497.428,377.625,559.106,566.962,538.434,603.551,556.977,513.709,540.823,575.199,602.259,508.912,554.046,565.733,491.558,544.968,522.169,544.179,546.211,543.829,571.996,501.664
7,3200001.0,3204244.0,320200,1.0,15.92,12.0,51.5,1.0,1.0,0.0,,,-1.0037,,,0.0304,2.0345,,,,,87.06638,277.454,337.363,242.344,301.564,278.615,316.919,342.789,315.142,332.022,407.416,445.354,452.862,390.753,392.656,403.28,443.545,417.049,419.237,458.363,435.981,403.822,366.999,436.437,425.016,353.01,374.972,381.666,385.479,409.841
8,3200001.0,3204844.0,320200,2.0,15.5,10.0,22.57,3.0,1.0,0.0,,,-2.3486,,,-0.3,-0.0424,,,,,92.5746,310.468,301.204,334.413,388.144,364.545,401.486,312.618,288.534,300.359,340.214,378.358,421.591,345.275,403.078,389.1,407.919,354.716,393.717,414.951,327.551,326.334,356.108,357.001,296.174,363.333,349.476,307.38,346.458,295.579
9,3200001.0,3205582.0,320200,2.0,15.58,10.0,22.57,1.0,3.0,0.0,,,-1.2797,,,2.0481,-0.9514,-1.5824,0.7703,-0.6142,,92.5746,480.608,528.474,419.243,495.624,513.596,462.04,502.938,427.645,478.355,479.911,541.247,541.365,459.106,485.551,551.474,512.48,559.021,574.3,544.883,553.03,560.928,558.821,538.716,497.158,581.37,558.563,535.167,571.145,577.168
